"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4840","TUBEWELL AT HATHIN, PLAWAL","HARYANA","37","37","7.85","7.85","5310","5310","4","4","3.7","3.7","","","","","2920","2920","1.9","1.9","",""
"4841","TUBEWELL AT GARHI, HODAL , PALWAL","HARYANA","38","38","7.63","7.63","4370","4370","1","1","4.7","4.7","","","","","2410","2410","1.3","1.3","",""
"4843","GEPIL, VILLAGE PALI, MOHABATABAD
CRUSHER ZONE, FARIDABAD","HARYANA","15","15","7","7","1270","1270","1","1","0.3","0.3","","","","","695","695","0.8","0.8","",""
"4844","BOREWELL NEAR POSCO COMPANY,
SECTOR - 14, PHASE - II, VILLAGE
PATHUHERA, HSIIDC, IMT, BAWAL","HARYANA","27.1","27.1","7.8","7.8","1740","1740","1","1","0.3","0.3","1.8","1.8","1.8","1.8","795","795","0.2","0.2","",""
"4845","BOREWELL OF HSIIDC PARK, SECTOR - 1,
IMT, MANESAR, GURUGRAM","HARYANA","26.8","26.8","7.2","7.2","1610","1610","1","1","0.3","0.3","1.8","1.8","1.8","1.8","816","816","0.2","0.2","",""
"4846","TUBEWELL NO. 6 OF HSIIDC, NEAR PLOT
NO. 237, SECTOR - 8, IMT MANESAR,
GURUGRAM","HARYANA","28.1","28.1","7.8","7.8","1620","1620","1","1","0.3","0.3","1.8","1.8","1.8","1.8","828","828","0.2","0.2","",""
"4847","TUBEWELL NO. 4, HAILY MANDI, TEHSIL -
PATAUDI (PWD), GURUGRAM","HARYANA","27.1","27.1","7.4","7.4","1780","1780","1","1","0.3","0.3","1.8","1.8","1.8","1.8","784","784","0.2","0.2","",""
"4848","TUBEWELL HSSIDC, NEAR PLOT NO. 7,
SECTOR 37, GURUGRAM","HARYANA","27.4","27.4","7.4","7.4","1780","1780","1","1","0","0","","","","","784","784","0.2","0.2","",""
"4849","BOREWELL AT ENTRY GATE OF ANSAL
PIONEER INDUSTRIAL PARK, PATHERI,
BILASPUR, GURUGRAM","HARYANA","27.6","27.6","7.3","7.3","1210","1210","1","1","0.3","0.3","1.8","1.8","1.8","1.8","680","680","0.2","0.2","",""
"4850","BOREWELL OF WATER WORKS, SECTOR -
35, HSIIDC, NH - 8, GURUGRAM","HARYANA","26.8","26.8","8","8","1350","1350","1","1","0.3","0.3","1.8","1.8","1.8","1.8","712","712","0.2","0.2","",""
"4851","BOREWELL OF PHED OFFICE, PATAUDI,
GURUGRAM","HARYANA","27.1","27.1","7.1","7.1","1410","1410","1","1","0.3","0.3","1.8","1.8","1.8","1.8","732","732","0.2","0.2","",""
"Water Quality Data of Ground Water in Himachal Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1555","TUBEWELL NEAR JSV PUMP STATION
RESIDENTIAL AREA KHERI, KALA AMB,","HIMACHAL PRADESH","","","7.31","7.88","518","1067","1","1","0.47","0.68","1.8","1.8","1.8","1.8","444","650","0.26","0.55","",""
"1556","BOREWELL NEAR JSV TANK HEERPUR AT
PAONTA SAHIB","HIMACHAL PRADESH","","","7.62","7.83","670","745","1","1","0.67","0.73","1.8","1.8","1.8","1.8","454","498","0.28","0.42","",""
"1562","BOREWELL NEAR ISBT UNA","HIMACHAL PRADESH","21","25","7.47","8.02","361","438","1","1","0.32","2.15","1.8","1.8","1.8","21","248","296","0.2","0.2","0.00049","0.00049"
"1874","SPRING SOURCE (GROUND WATER)
BELOW SWM SITE AT SALOGRA, VILL.
SALOGRA, DISTT. SOLAN","HIMACHAL PRADESH","10","20","7.02","7.72","382","774","1","1","0.58","2.84","2","4","17","26","263","392","0.24","0.28","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1877","GROUND WATER NEAR USV LIMITED
HPSIDC BADDI AT BADDI INDUSTRIAL
AREA","HIMACHAL PRADESH","","","7.29","7.29","681","681","1","1","4.95","4.95","","","","","483","483","0.47","0.47","",""
"1878","GROUND WATER (NEAR ELECTRICITY
OFFICE BAROTIWALA) BAROTIWALA
INDUSTRIAL AREA","HIMACHAL PRADESH","","","7.11","7.11","643","643","1","1","7.02","7.02","","","","","450","450","0.56","0.56","",""
"1879","GROUND WATER (NEAR ACME
FORMULATION NALAGARH) NALAGARH
INDUSTRIAL AREA","HIMACHAL PRADESH","","","6.85","6.85","881","881","1","1","13.69","13.69","","","","","625","625","0.92","0.92","",""
"1880","TUBEWELL OPPOSITE IIIT COLLEGE OF
ENGINEERING NEAR INDUSTRIAL AREA
JOHRON KALA AMB","HIMACHAL PRADESH","","","7.8","7.99","569","1074","1","1","0.42","0.67","1.8","1.8","1.8","1.8","462","657","0.23","0.47","",""
"1881","BOREWELL NEAR JSV TANK, SWCA OFFICE
AT GONDPUR, INDUSTRIAL AREA,
PAONTA SAHIB","HIMACHAL PRADESH","","","7.5","7.66","770","789","1","1","0.69","0.72","1.8","1.8","1.8","1.8","468","684","0.24","0.43","",""
"1882","BOREWELL NEAR OVERHEAD TANK OF
IADA MEHATPUR INDUSTRIAL AREA","HIMACHAL PRADESH","22","25","7.68","7.95","382","698","1","1.5","0.32","0.4","2","79","7.8","210","277","459","0.2","0.2","0.00049","0.00049"
"1883","BOREWELL NEAR M/S BECTOR FOOD
INDUSTRIAL AREA TAHLIWAL","HIMACHAL PRADESH","24","24","7.74","7.74","468","468","1","1","1.15","1.15","1.8","1.8","1.8","1.8","309","309","0.2","0.2","",""
"2628","HAND PUMP NEAR THE BUS STOP AT
WORKSHOP CHOWK","HIMACHAL PRADESH","18","21","7.52","7.72","518","745","1","1","0.32","1.32","1.8","1.8","1.8","1.8","354","506","0.2","0.23","",""
"2630","HANDPUMP NEAR EXIT GATE OF BUS
STAND HAMIRPUR","HIMACHAL PRADESH","12","12","7.52","8.21","340","685","1","1","0.32","0.61","1.8","17","17","25","210","432","0.2","0.2","0.00049","0.00049"
"2631","HAND PUMP INSIDE THE BUS STAND AT
NADAUN TOWN","HIMACHAL PRADESH","13","15","7.11","7.85","408","605","1","1","0.32","4.92","1.8","7.8","14","17","266","392","0.2","0.37","0.00049","0.00049"
"2632","HAND PUMP AT BILASPUR TOWN (NEAR
LAXMINARAYAN TEMPLE)","HIMACHAL PRADESH","23","23","7.76","8.14","510","745","1","1","0.32","6.38","1.8","1.8","1.8","1.8","331","346","0.2","0.2","",""
"2633","HAND PUMP AT RECONGPEO","HIMACHAL PRADESH","","","7.66","7.93","151","336","1","1","4.7","10.37","1.8","1.8","1.8","6.8","96","203","0.2","0.57","",""
"2634","HAND PUMP NEAR VIJAYNAGAR TOTU
SHIMLA","HIMACHAL PRADESH","","","7.78","8.12","262","302","1","1","0.32","0.41","","","","","164","196","0.2","0.2","",""
"2635","HAND PUMP NEAR NOGLI AT RAMPUR","HIMACHAL PRADESH","","","7.92","8.16","144","188","1","1","1.07","1.08","1.8","1.8","1.8","6.8","92","124","0.2","0.2","",""
"2636","HAND PUMP NEAR KANGRA TEMPLE","HIMACHAL PRADESH","","","6.84","7.84","186","661","1","1.5","0.3","0.91","","","","","117","383","0.2","1.51","",""
"2637","HAND PUMP AT JWALAJI TEMPLE","HIMACHAL PRADESH","","","6.98","8.03","499","1168","1","1","0.6","8.79","","","","","142","702","0.2","0.95","0.00049","0.00049"
"2638","BOREWELL NEAR CHINTPURNI TEMPLE
AT UNA TOWN","HIMACHAL PRADESH","","","7.91","8.06","329","379","1","1","0.32","8.18","1.8","1.8","1.8","170","233","257","0.2","0.2","0.00049","0.00049"
"2639","HAND PUMP NEAR CHAMUNDA DEVI
TEMPLE","HIMACHAL PRADESH","","","7.3","7.3","140","140","1","1","0.74","0.74","","","","","87","87","0.2","0.2","",""
"2640","HAND PUMP NEAR SANSARPUR TERRACE
INDUSTRIAL AREA","HIMACHAL PRADESH","12","18","6.97","8.14","264","385","1","1","1.08","2.19","","","","","179","269","0.2","0.2","",""
"2641","HAND PUMP NEAR TEXI STAND CHAMBA
TOWN","HIMACHAL PRADESH","13","13","7.34","7.34","821","821","1","1","0.73","0.73","","","","","362","362","0.2","0.2","",""
"2642","HAND PUMP NEAR HOTEL PINE WOOD
AT DALHOUSIE ROAD","HIMACHAL PRADESH","10","12","6.84","7.94","105","216","1","1","0.4","0.89","","","","","82","181","0.2","0.2","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2645","HAND PUMP AT NAHAN NEAR POLICE
POST GUNNUGHAT","HIMACHAL PRADESH","","","7.43","8.04","576","1048","1","1","0.63","0.65","1.8","1.8","1.8","1.8","440","640","0.3","0.51","",""
"2646","HAND PUMP NEAR MOGINANAD AT
KALA AMB","HIMACHAL PRADESH","","","7.44","7.75","516","1035","1","1","0.38","0.7","1.8","1.8","1.8","1.8","450","630","0.31","0.55","",""
"2648","HAND PUMP AT KEYLONG","HIMACHAL PRADESH","11","18","6.74","7.6","138","356","1","1","0.32","0.32","1.8","1.8","1.8","1.8","92","241","0.24","0.6","",""
"4434","BOREWELL NEAR UNA-HAROLI BRIDGE
INDUSTRIAL AREA JEETPUR BEHRI","HIMACHAL PRADESH","","","7.98","8.1","375","388","1","1","0.32","5","1.8","13","21","110","260","268","0.2","0.2","0.00049","0.00049"
"4456","HANDPUMP NEAR SATSANG BHAWAN
VILLAGE MUGLA","HIMACHAL PRADESH","11","17","7.02","8.05","289","512","1","1","0.63","3.23","","","","","179","333","0.2","0.7","",""
"4465","GROUND WATER INTAKE POINT OF BBMB
AT VILL. HARABAGH","HIMACHAL PRADESH","14","27","6.75","8.34","163","680","1","1","0.32","1.21","26","58","140","280","110","420","0.2","0.63","",""
"4467","GROUND WATER NEAR LIFT WATER
SUPPLY SCHEME AT DARI DHARAMSHALA
AT HOTEL DHAULADHAR HEIGHTS DARI,
DHARAMSHALA","HIMACHAL PRADESH","14","14","6.92","7.52","112","393","1","1.1","0.3","2.3","1.8","2","2","17","71","247","0.2","0.2","",""
"4468","GROUND WATER SUPPLY SCHEME NEAR
MELA GROUND DARI, DHARAMSHALA","HIMACHAL PRADESH","14","14","6.58","7.6","99","394","1","1.3","0.48","1.54","1.8","1.8","2","2","66","242","0.2","0.2","",""
"4472","GROUND WATER NEAR SUPPLY SCHEME
AT NAGROTA BHAGWAN","HIMACHAL PRADESH","14","14","7.21","8.1","143","654","1","1","0.5","2.72","2","40","2","350","100","339","0.2","0.9","",""
"4478","LIFTING WATER SUPPLY SCHEME
SHAMSHI, NEAR SABJI MANDI BHUNTER,
TEHSIL KULLU","HIMACHAL PRADESH","15","16","7.17","7.72","101","260","1","1","0.32","3.11","23","32","210","240","68","169","0.26","0.51","",""
"4483","GROUND WATER SUPPLY SCHEME (MC
UNA)","HIMACHAL PRADESH","21","24","7.81","8.09","402","404","1","1.3","0.32","5.09","1.8","26","1.8","84","256","274","0.2","0.2","0.00049","0.00049"
"5249","GROUND WATER NEAR PULGHRAT
BRIDGE ALONG NATIONAL HIGHWAY","HIMACHAL PRADESH","20","21","7.7","8.2","268","272","1","1","0.57","1.06","1.8","1.8","1.8","1.8","164","183","0.2","0.2","",""
"5250","BOREWELL IN THE PREMISES OF M/S
BHAGWATI AUTOMOBILE, PLOT NO. 13,
INDL AREA SAULI KHAD, DIST. MANDI","HIMACHAL PRADESH","22","24","6.52","6.52","256","273","1","1","2.47","3.98","1.8","1.8","1.8","1.8","154","184","0.2","0.28","",""
"5258","GROUUND WATER AT VPO SANOLI, SUB-
TEHSIL MEHTAPUR (DRINKING WATER
SUPPLY SCHEME)","HIMACHAL PRADESH","20","28","7.19","8.1","633","1398","1","3","0.32","11.02","8.2","920","54","1600","419","828","0.2","0.27","0.00049","0.00049"
"Water Quality Data of Ground Water in Jammu & Kashmir Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2759","DUGWELL AT GAGHWAL(KATHUA DISTT)","JAMMU & KASHMIR","19","20","7.36","7.56","410","448","1","1","0","9.28","","","","","238","260","","","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2760","MALADHAR TALAB(POND)HATLI
(KATHUA)","JAMMU & KASHMIR","18","22","7.42","7.86","412","424","2","2.3","0","1.14","","","","","240","246","","","",""
"2761","TUBE WELL KATHUA SICOP INDUSTRIAL
AREA KATHUA","JAMMU & KASHMIR","18","20","7.64","7.8","436","458","1","1","0","2.03","","","","","253","265","","","",""
"2762","R.S. PURA TEHSIL, JAMMU","JAMMU & KASHMIR","20","24","6.5","8.36","800","982","2","2","0","1.48","","","","","466","590","","","",""
"4064","BOREWELL NEAR INDUSTRIAL AREA
GANGYAL","JAMMU & KASHMIR","16","18","7.66","7.8","525","540","1","1","0","3.22","","","","","305","314","","","",""
"4065","BOREWELL NEAR INDUSTRIAL AREA BARI-
BRAHMNA","JAMMU & KASHMIR","17","18","7.56","7.64","266","280","","","0","461","","","","","154","162","","","",""
"4066","BOREWELL NEAR INDUSTRIAL AREA
SAMBA","JAMMU & KASHMIR","18","18","7.84","7.9","324","340","1","1","0","2.86","","","","","188","198","","","",""
"4067","BOREWELL NEAR INDUSTRIAL AREA
UDHAMPUR","JAMMU & KASHMIR","17","18","7.58","8.1","468","478","1","1","0","2.52","","","","","272","277","","","",""
"4068","BABA TALAB (ANCIENT POND) AT
MISHRIWALA (WETLAND)","JAMMU & KASHMIR","18","19","7.56","7.84","300","324","1","1","0","0.02","","","","","174","188","","","",""
"4069","ANCIENT BOWLIES IN UDHAMPUR AT
GANGERA BOWLI","JAMMU & KASHMIR","17","18","7.26","7.56","464","486","1","1","0","0.02","","","","","270","282","","","",""
"4070","ANCIENT BOWLIES IN UDHAMPUR AT
REHMATI MOHALLA BOWLI","JAMMU & KASHMIR","17","18","7.2","7.36","424","428","1","1","0","0.02","","","","","246","248","","","",""
"4072","BOREWELL IN SMAILPUR NEAR
CHRISTIAN HOSPITAL","JAMMU & KASHMIR","17","18","7.46","7.7","312","320","","","0","2.64","","","","","182","186","","","",""
"4073","BOREWELL NEAR MAIN CHOWK,
SMAILPUR","JAMMU & KASHMIR","18","18","7.72","7.8","342","346","","","0","2.64","","","","","198","200","","","",""
"4074","MANWAR TAWI BELOW SALAINI BRIDGE-
RAJOURI","JAMMU & KASHMIR","14","24","7.8","7.86","189","212","1","1","0","0.02","","","","","110","123","","","",""
"Water Quality Data of Ground Water in Jharkhand Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4492","HAND PUMP NEAR GARBAGE DUMP,
RAKSHIBANDH DUMKA","JHARKHAND","18","28","7.5","7.5","210","234","1.4","1.6","0","0","","","","","182","222","","","",""
"4493","HOLY POND AT VILLAGE SIKATIA","JHARKHAND","19","32","7.6","7.7","190","262","1.1","1.4","0","0","","","","","168","249","","","",""
"Water Quality Data of Ground Water in Karnataka Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3564","BOREWELL WATER NEAR
MANGALIJYOTHI SCHOOL MSW SITE
VAMMANJOOR","KARNATAKA","28","30","7.5","8","124","184","2.4","2.4","0.3","1.7","1.8","13","23","540","80","128","0.2","0.3","",""
"Water Quality Data of Ground Water in Kerala Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"19","WELL AT ELOOR,ERNAKULAM","KERALA","27","28","6.4","6.43","120","227","1","3.8","0.72","2.93","540","1100","3100","4600","67","126","0.2","0.2","0.00049","0.00049"
"22","WELL AT CHUNGAPALLY, KERALA","KERALA","27","29","5.4","6.7","123","132","1","1.5","1.9","2.43","380","1100","460","2900","70","73","0.2","0.2","0.00049","0.015"
"35","WELL AT PUNALUR, KERALA","KERALA","25","25","7","7.8","152","246","1.1","1.2","0.3","5.36","20","20","110","110","93","137","0.2","0.2","0.00049","0.056"
"1581","WELL AT PAPPANAMKODE,
THIRUVANANTHAPURAM, KERALA","KERALA","28","28","6","6","136","232","1","1","0.3","0.3","400","800","600","1400","75","135","0.2","0.2","0.00049","0.013"
"1582","WELL AT NEDUMANGAD,
THIRUVANANTHAPURAM, KERALA","KERALA","28","28","6","6.9","552","670","1","1","0.3","0.3","1.8","100","400","500","302","512","0.2","0.2","0.00049","0.001"
"1583","WELL AT KUNDARA, KOLLAM DISTT. ,
KERALA","KERALA","24","25","6.5","7.5","128","188","1","1.2","0.3","0.31","2","10","40","110","86","160","0.2","0.2","0.00049","0.008"
"1586","WELL AT EDAYAR ERNAKULAM DISTT.,
KERALA","KERALA","27.2","28","6.31","6.53","310","470","1","1.7","2.09","9.2","1200","4000","1500","6300","171","259","0.2","0.2","0.00049","0.00049"
"1587","WELL AT KALAMASSERY ERNAKULAM
DISTT. ,KERALA","KERALA","27","28","5.9","6.4","291","292","2.3","2.3","6.22","7.85","1.8","3","10","240","168","190","0.2","0.2","0.00049","0.00049"
"1588","WELL AT PUNKUNNAM TRISSUR DISTT. ,
KERALA","KERALA","26","26","5.7","7.8","150","204","1.4","3.8","0.3","5.6","1.8","70","240","250","90","122","0.2","0.2","0.00049","0.00049"
"1589","WELL AT MALAPURAM , KERALA","KERALA","25","31","3","5.8","146","178","1","1.6","0.3","0.42","170","280","630","630","96","98","0.2","0.5","0.00049","0.00049"
"1590","WELL AT MAVOOR, KOZHIKKODE DISTT. ,
KERALA","KERALA","27","29","6.5","6.8","103","108","1","1","1.89","2.33","520","1100","800","2600","60","62","0.2","0.2","0.00049","0.011"
"1591","WELL AT KANNUR MUNICIPALITY
KANNUR","KERALA","26","30","5.1","6.1","100","107","1","1.8","0.3","0.3","230","500","350","2400","62","90","0.2","0.9","0.00049","0.00049"
"1592","WELL AT PAYYANNUR, KANNUR DISTT. ,
KERALA","KERALA","26","30","5.8","7.4","219","242","2.1","3.1","0.3","0.3","1.8","280","350","350","126","136","0.2","0.2","0.00049","0.001"
"2308","WELL AT FATHIMAPURAM
(CHANGANASSERY)","KERALA","27","28","6.5","6.6","111","159","1","1.5","0.72","0.77","48","150","210","240","69","95","0.2","0.2","0.00049","0.012"
"2309","WELL AT KAROOR (PALA)","KERALA","27","28","5.1","6.2","76","116","1","1","0.3","0.92","49","110","150","490","50","69","0.2","0.2","0.002","0.005"
"2310","WELL AT VAIKOM","KERALA","27","27","6.2","6.2","180","258","1","1","0.3","0.3","150","150","350","430","108","154","0.2","0.2","0.00049","0.023"
"2311","WELL AT VADAVATHOOR (KOTTAYAM)","KERALA","27","27","6.4","6.4","142","142","1","1","0.3","0.3","150","150","750","750","87","87","0.2","0.2","0.00049","0.00049"
"2313","WELL AT SARVODAPURAM, ALAPPUZHA","KERALA","29","29","8.3","8.4","346","394","3.2","8.4","0.3","0.3","500","5300","700","12500","259","300","0.2","0.2","0.00049","0.003"
"2314","WELL AT KUREEPUZHA (KOLLAM)","KERALA","24","24","7.5","7.5","142","406","1","1","0.3","0.36","10","20","94","130","87","232","0.2","0.2","0.00049","0.071"
"2315","WELL AT K.M.M.L. (KOLLAM)","KERALA","23","24","7.2","7.5","176","389","1","1.5","0.3","0.48","20","23","70","100","135","218","0.2","0.2","0.00049","0.004"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2316","WELL AT CHELLORA TRENCHING GROUND
(KANNUR)","KERALA","27","31","4.8","6.2","48","97","1.2","1.7","0.3","0.3","1.8","1.8","1.8","1.8","38","63","0.2","0.8","0.00049","0.00049"
"2317","WELL AT PUNNALPETTIPPALAM","KERALA","26","30","6.4","7.9","244","346","1","1","0.3","0.3","10","150","40","330","152","210","0.2","0.8","0.00049","0.00049"
"2320","WELL AT MANJERI","KERALA","24","30","6.3","6.8","160","161","1.1","1.3","0.3","0.57","1.8","540","110","1200","89","113","0.2","0.45","0.00049","0.001"
"2321","WELL AT LALOOR (THRISSUR)","KERALA","27","28","4.4","7.6","233","286","3","3.8","0.3","4.6","1.8","70","140","700","140","171","0.2","0.4","0.00049","0.00049"
"2322","WELL AT OLLUR (THRISSUR)","KERALA","28","30","5.4","7.6","206","217","1","2","0.3","5.2","1.8","60","120","600","124","130","0.2","0.2","0.00049","0.00049"
"2323","WELL AT BRAHMAPURAM M.S.W.
DUMPARK","KERALA","26","27","6.4","7.9","205","221","1","1","0.3","0.3","310","400","1400","3500","86","126.8","0.2","0.2","0.00049","0.00049"
"2324","WELL AT HAZARDOUS WASTE DUMP
(AMBALAMUGAL BOREWELL)","KERALA","26","27","5.5","8.5","145","154","1","1","5.57","5.9","10","28","79","1100","86","86","0.2","0.2","0.00049","0.001"
"2327","WELL AT KARUKAMANI","KERALA","29","30","8.2","8.3","705","1149","1","1.4","0.3","0.74","1.8","100","300","800","400","635","0.2","0.3","0.003","0.01"
"3463","WELL AT VELLIPARAMBA, KOZHEKODE","KERALA","28","29","5.3","6.5","91","137","1","1","2.74","4.44","480","1100","820","2100","54","81","0.2","0.2","0.00049","0.01"
